filename,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,BBR-Data,HR-GPS-Data,Hr-GPS-Data,InSAR-Data,Other-Data,SAT-Data,SPOT-Data,hr-GPS-Data,inSAR-Data,level-Data,tril-Data
s2010BONINI01HAYE.fsp,22.0,12.0,999.0,999.0,5.0,3.5,999.0,1.0,999.0,999.0,999,0.0,121.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010BONINI02HAYE.fsp,22.0,12.0,0.0,1.0,5.0,3.5,5.0,1.0,1.6,0.8,asymetriccosine,0.0,69.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.44,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2010DARFIE01HAYE.fsp,32.0,13.0,999.0,999.0,2.5,2.0,999.0,1.0,999.0,999.0,999,0.0,132.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010ELMAYO01MEND.fsp,30.0,4.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,0.0,boxcar,0.0,26.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010HAITIx01CALA.fsp,25.0,12.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,geodetic,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2010HAITIx01SLAD.fsp,15.0,9.0,999.0,999.0,3.0,2.5,999.0,1.0,999.0,999.0,999,0.0,37.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010HAITIx02HAYE.fsp,18.0,10.0,999.0,999.0,3.0,2.5,999.0,1.0,999.0,999.0,999,0.0,45.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010MAULEC01DELO.fsp,18.0,7.0,999.0,999.0,40.0,40.0,3.0,1.0,12.0,999.0,isosceles-triangular,0.0,24.0,NaN,NaN,40.0,NaN,NaN,0.0,0.0,999.0,999.0,0.0,0.0,999.0,0.0,NaN,0.0,5003.8,999.0,0.0,0.0,999.0,0.0,NaN,NaN,NaN,NaN,1172.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010MAULEC01HAYE.fsp,18.0,10.0,999.0,999.0,30.0,20.0,999.0,1.0,999.0,999.0,999,0.0,77.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2010MAULEC01LUTT.fsp,34.0,13.0,999.0,999.0,20.0,19.7,999.0,1.0,999.0,999.0,Not-Applicable,0.0,0.0,NaN,NaN,22.0,NaN,NaN,0.0,0.0,0.0,999.0,0.0,0.0,999.0,0.0,NaN,0.0,0.0,999.0,0.0,0.0,999.0,0.0,NaN,NaN,NaN,NaN,999.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
